CuisineType,RestaurantID,Description
Indian,224,Specializes in authentic Indian cuisine with a modern twist.
Indian,225,Specializes in authentic Indian cuisine with a modern twist.
Indian,225,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,226,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,227,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,227,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,228,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,228,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,228,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,229,Specializes in authentic Italian cuisine with a modern twist.
Indian,230,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,230,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,230,Specializes in authentic Arabic cuisine with a modern twist.
Italian,231,Specializes in authentic Italian cuisine with a modern twist.
Arabic,231,Specializes in authentic Arabic cuisine with a modern twist.
Italian,232,Specializes in authentic Italian cuisine with a modern twist.
Indian,232,Specializes in authentic Indian cuisine with a modern twist.
Indian,233,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,233,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,234,Specializes in authentic Italian cuisine with a modern twist.
Italian,234,Specializes in authentic Italian cuisine with a modern twist.
Arabic,235,Specializes in authentic Arabic cuisine with a modern twist.
Indian,236,Specializes in authentic Indian cuisine with a modern twist.
Arabic,236,Specializes in authentic Arabic cuisine with a modern twist.
Indian,236,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,237,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,238,Specializes in authentic Indian cuisine with a modern twist.
Arabic,239,Specializes in authentic Arabic cuisine with a modern twist.
Indian,240,Specializes in authentic Indian cuisine with a modern twist.
Italian,240,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,241,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,241,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,241,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,242,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,242,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,242,Specializes in authentic Indian cuisine with a modern twist.
Arabic,243,Specializes in authentic Arabic cuisine with a modern twist.
Indian,244,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,245,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,246,Specializes in authentic Indian cuisine with a modern twist.
Indian,246,Specializes in authentic Indian cuisine with a modern twist.
Italian,247,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,248,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,248,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,248,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,249,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,250,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,250,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,250,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,251,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,251,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,252,Specializes in authentic Italian cuisine with a modern twist.
Indian,252,Specializes in authentic Indian cuisine with a modern twist.
Italian,253,Specializes in authentic Italian cuisine with a modern twist.
Italian,253,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,253,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,254,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,254,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,255,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,255,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,256,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,256,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,257,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,258,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,259,Specializes in authentic Italian cuisine with a modern twist.
Indian,259,Specializes in authentic Indian cuisine with a modern twist.
Arabic,259,Specializes in authentic Arabic cuisine with a modern twist.
Italian,260,Specializes in authentic Italian cuisine with a modern twist.
Indian,260,Specializes in authentic Indian cuisine with a modern twist.
Italian,260,Specializes in authentic Italian cuisine with a modern twist.
Indian,261,Specializes in authentic Indian cuisine with a modern twist.
Arabic,262,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,262,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,262,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,263,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,263,Specializes in authentic Arabic cuisine with a modern twist.
Indian,264,Specializes in authentic Indian cuisine with a modern twist.
Indian,264,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,264,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,265,Specializes in authentic Italian cuisine with a modern twist.
Indian,266,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,266,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,266,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,267,Specializes in authentic Italian cuisine with a modern twist.
Indian,268,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,268,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,268,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,269,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,269,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,270,Specializes in authentic Arabic cuisine with a modern twist.
Indian,271,Specializes in authentic Indian cuisine with a modern twist.
Italian,272,Specializes in authentic Italian cuisine with a modern twist.
Indian,273,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,273,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,274,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,275,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,275,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,276,Specializes in authentic Indian cuisine with a modern twist.
Italian,276,Specializes in authentic Italian cuisine with a modern twist.
Italian,276,Specializes in authentic Italian cuisine with a modern twist.
Arabic,277,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,277,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,277,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,278,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,278,Specializes in authentic Italian cuisine with a modern twist.
Italian,278,Specializes in authentic Italian cuisine with a modern twist.
Indian,279,Specializes in authentic Indian cuisine with a modern twist.
Indian,280,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,281,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,282,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,283,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,283,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,283,Specializes in authentic Indian cuisine with a modern twist.
Italian,284,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,285,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,285,Specializes in authentic Italian cuisine with a modern twist.
Italian,286,Specializes in authentic Italian cuisine with a modern twist.
Arabic,286,Specializes in authentic Arabic cuisine with a modern twist.
Italian,287,Specializes in authentic Italian cuisine with a modern twist.
Indian,287,Specializes in authentic Indian cuisine with a modern twist.
Italian,287,Specializes in authentic Italian cuisine with a modern twist.
Italian,288,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,288,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,289,Specializes in authentic Italian cuisine with a modern twist.
Arabic,289,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,289,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,290,Specializes in authentic Indian cuisine with a modern twist.
Arabic,291,Specializes in authentic Arabic cuisine with a modern twist.
Indian,292,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,292,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,292,Specializes in authentic Indian cuisine with a modern twist.
Indian,293,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,294,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,295,Specializes in authentic Arabic cuisine with a modern twist.
Indian,296,Specializes in authentic Indian cuisine with a modern twist.
Indian,296,Specializes in authentic Indian cuisine with a modern twist.
Italian,296,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,297,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,297,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,298,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,298,Specializes in authentic Indian cuisine with a modern twist.
Arabic,298,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,299,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,299,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,299,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,300,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,301,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,301,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,301,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,302,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,303,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,303,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,304,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,304,Specializes in authentic Italian cuisine with a modern twist.
Italian,304,Specializes in authentic Italian cuisine with a modern twist.
Arabic,305,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,305,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,306,Specializes in authentic Arabic cuisine with a modern twist.
Indian,306,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,307,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,308,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,308,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,309,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,310,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,310,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,310,Specializes in authentic Arabic cuisine with a modern twist.
Indian,311,Specializes in authentic Indian cuisine with a modern twist.
Arabic,311,Specializes in authentic Arabic cuisine with a modern twist.
Indian,311,Specializes in authentic Indian cuisine with a modern twist.
Italian,312,Specializes in authentic Italian cuisine with a modern twist.
Italian,312,Specializes in authentic Italian cuisine with a modern twist.
Arabic,312,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,313,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,314,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,315,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,315,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,316,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,317,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,317,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,318,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,318,Specializes in authentic Italian cuisine with a modern twist.
Arabic,319,Specializes in authentic Arabic cuisine with a modern twist.
Indian,319,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,320,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,320,Specializes in authentic Indian cuisine with a modern twist.
Indian,321,Specializes in authentic Indian cuisine with a modern twist.
Italian,321,Specializes in authentic Italian cuisine with a modern twist.
Indian,322,Specializes in authentic Indian cuisine with a modern twist.
Indian,322,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,323,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,323,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,324,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,324,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,325,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,325,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,326,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,327,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,328,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,329,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,329,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,329,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,330,Specializes in authentic Italian cuisine with a modern twist.
Indian,330,Specializes in authentic Indian cuisine with a modern twist.
Arabic,330,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,331,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,331,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,332,Specializes in authentic Arabic cuisine with a modern twist.
Italian,333,Specializes in authentic Italian cuisine with a modern twist.
Arabic,334,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,334,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,335,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,335,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,336,Specializes in authentic Arabic cuisine with a modern twist.
Indian,337,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,337,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,337,Specializes in authentic Arabic cuisine with a modern twist.
Indian,338,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,338,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,339,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,339,Specializes in authentic Arabic cuisine with a modern twist.
Indian,339,Specializes in authentic Indian cuisine with a modern twist.
Indian,340,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,340,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,341,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,341,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,341,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,342,Specializes in authentic Indian cuisine with a modern twist.
Arabic,342,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,343,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,343,Specializes in authentic Arabic cuisine with a modern twist.
Indian,343,Specializes in authentic Indian cuisine with a modern twist.
Arabic,344,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,344,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,344,Specializes in authentic Italian cuisine with a modern twist.
Italian,345,Specializes in authentic Italian cuisine with a modern twist.
Indian,346,Specializes in authentic Indian cuisine with a modern twist.
Arabic,346,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,347,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,347,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,348,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,348,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,348,Specializes in authentic Arabic cuisine with a modern twist.
Italian,349,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,349,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,350,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,350,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,350,Specializes in authentic Italian cuisine with a modern twist.
Indian,351,Specializes in authentic Indian cuisine with a modern twist.
Indian,351,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,351,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,352,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,352,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,353,Specializes in authentic Italian cuisine with a modern twist.
Arabic,354,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,354,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,355,Specializes in authentic Arabic cuisine with a modern twist.
Italian,355,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,356,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,356,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,357,Specializes in authentic Arabic cuisine with a modern twist.
Indian,358,Specializes in authentic Indian cuisine with a modern twist.
Arabic,359,Specializes in authentic Arabic cuisine with a modern twist.
Italian,359,Specializes in authentic Italian cuisine with a modern twist.
Arabic,359,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,360,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,360,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,361,Specializes in authentic Indian cuisine with a modern twist.
Indian,362,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,363,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,363,Specializes in authentic Italian cuisine with a modern twist.
Italian,364,Specializes in authentic Italian cuisine with a modern twist.
Indian,364,Specializes in authentic Indian cuisine with a modern twist.
Indian,365,Specializes in authentic Indian cuisine with a modern twist.
Italian,365,Specializes in authentic Italian cuisine with a modern twist.
Arabic,366,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,367,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,367,Specializes in authentic Arabic cuisine with a modern twist.
Indian,368,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,369,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,370,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,371,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,371,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,371,Specializes in authentic Indian cuisine with a modern twist.
Arabic,372,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,373,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,373,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,374,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,375,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,375,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,375,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,376,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,376,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,376,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,377,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,377,Specializes in authentic Italian cuisine with a modern twist.
Italian,377,Specializes in authentic Italian cuisine with a modern twist.
Indian,378,Specializes in authentic Indian cuisine with a modern twist.
Indian,379,Specializes in authentic Indian cuisine with a modern twist.
Indian,380,Specializes in authentic Indian cuisine with a modern twist.
Indian,380,Specializes in authentic Indian cuisine with a modern twist.
Arabic,380,Specializes in authentic Arabic cuisine with a modern twist.
Italian,381,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,381,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,382,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,382,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,383,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,384,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,384,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,385,Specializes in authentic Arabic cuisine with a modern twist.
Indian,385,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,386,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,386,Specializes in authentic Arabic cuisine with a modern twist.
Indian,387,Specializes in authentic Indian cuisine with a modern twist.
Indian,387,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,388,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,388,Specializes in authentic Italian cuisine with a modern twist.
Arabic,389,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,389,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,390,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,390,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,390,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,391,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,391,Specializes in authentic Italian cuisine with a modern twist.
Arabic,391,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,392,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,392,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,392,Specializes in authentic Italian cuisine with a modern twist.
Arabic,393,Specializes in authentic Arabic cuisine with a modern twist.
Italian,393,Specializes in authentic Italian cuisine with a modern twist.
Italian,393,Specializes in authentic Italian cuisine with a modern twist.
Arabic,394,Specializes in authentic Arabic cuisine with a modern twist.
Indian,394,Specializes in authentic Indian cuisine with a modern twist.
Indian,394,Specializes in authentic Indian cuisine with a modern twist.
Arabic,395,Specializes in authentic Arabic cuisine with a modern twist.
Indian,396,Specializes in authentic Indian cuisine with a modern twist.
Indian,396,Specializes in authentic Indian cuisine with a modern twist.
Indian,397,Specializes in authentic Indian cuisine with a modern twist.
Arabic,398,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,398,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,399,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,400,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,400,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,400,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,401,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,401,Specializes in authentic Indian cuisine with a modern twist.
Italian,402,Specializes in authentic Italian cuisine with a modern twist.
Arabic,403,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,403,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,404,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,404,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,404,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,405,Specializes in authentic Arabic cuisine with a modern twist.
Indian,405,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,405,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,406,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,406,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,406,Specializes in authentic Indian cuisine with a modern twist.
Italian,407,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,407,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,408,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,408,Specializes in authentic Indian cuisine with a modern twist.
Indian,409,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,409,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,410,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,410,Specializes in authentic Indian cuisine with a modern twist.
Italian,411,Specializes in authentic Italian cuisine with a modern twist.
Arabic,412,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,413,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,413,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,413,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,414,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,415,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,416,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,417,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,418,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,418,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,419,Specializes in authentic Indian cuisine with a modern twist.
Indian,419,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,420,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,421,Specializes in authentic Indian cuisine with a modern twist.
Arabic,421,Specializes in authentic Arabic cuisine with a modern twist.
Indian,421,Specializes in authentic Indian cuisine with a modern twist.
Indian,422,Specializes in authentic Indian cuisine with a modern twist.
Arabic,422,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,422,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,423,Specializes in authentic Arabic cuisine with a modern twist.
Indian,423,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,424,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,424,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,425,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,426,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,427,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,427,Specializes in authentic Indian cuisine with a modern twist.
Arabic,428,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,429,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,430,Specializes in authentic Arabic cuisine with a modern twist.
Italian,430,Specializes in authentic Italian cuisine with a modern twist.
Arabic,431,Specializes in authentic Arabic cuisine with a modern twist.
Indian,431,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,431,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,432,Specializes in authentic Arabic cuisine with a modern twist.
Italian,432,Specializes in authentic Italian cuisine with a modern twist.
Italian,433,Specializes in authentic Italian cuisine with a modern twist.
Indian,433,Specializes in authentic Indian cuisine with a modern twist.
Indian,433,Specializes in authentic Indian cuisine with a modern twist.
Arabic,434,Specializes in authentic Arabic cuisine with a modern twist.
Italian,434,Specializes in authentic Italian cuisine with a modern twist.
Indian,435,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,435,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,436,Specializes in authentic Indian cuisine with a modern twist.
Egyptian,436,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,437,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,437,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,438,Specializes in authentic Mediterranean cuisine with a modern twist.
Italian,438,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,438,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,439,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,439,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,439,Specializes in authentic Italian cuisine with a modern twist.
Italian,440,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,441,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,441,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,442,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,442,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,442,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,443,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,443,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,444,Specializes in authentic Italian cuisine with a modern twist.
Arabic,445,Specializes in authentic Arabic cuisine with a modern twist.
Mediterranean,446,Specializes in authentic Mediterranean cuisine with a modern twist.
Mediterranean,446,Specializes in authentic Mediterranean cuisine with a modern twist.
Arabic,446,Specializes in authentic Arabic cuisine with a modern twist.
Arabic,447,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,447,Specializes in authentic Egyptian cuisine with a modern twist.
Indian,447,Specializes in authentic Indian cuisine with a modern twist.
Mediterranean,448,Specializes in authentic Mediterranean cuisine with a modern twist.
Indian,448,Specializes in authentic Indian cuisine with a modern twist.
Italian,449,Specializes in authentic Italian cuisine with a modern twist.
Egyptian,449,Specializes in authentic Egyptian cuisine with a modern twist.
Italian,450,Specializes in authentic Italian cuisine with a modern twist.
Mediterranean,451,Specializes in authentic Mediterranean cuisine with a modern twist.
Egyptian,452,Specializes in authentic Egyptian cuisine with a modern twist.
Arabic,452,Specializes in authentic Arabic cuisine with a modern twist.
Egyptian,452,Specializes in authentic Egyptian cuisine with a modern twist.
Egyptian,453,Specializes in authentic Egyptian cuisine with a modern twist.
Mediterranean,453,Specializes in authentic Mediterranean cuisine with a modern twist.
